strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010200010602,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010701,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010702,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010703,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010901,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010902,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010903,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010904,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011001,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011002,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011003,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020106,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020107,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020108,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020201,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
